#domain,port,ioc,ip
0-0q.com,443,Possible ScreenConnect Domain (Unverified),108.186.112.152
0-0sc.com,443,Possible ScreenConnect Domain (Unverified),45.88.91.209
0-0x.xyz,8040,Possible ScreenConnect Domain (Unverified),94.26.3.205
00-vic-ss-fwl-zpdpvmwwvc.dynamic-m.com,443,Possible MeshCentral RMM Domain (Unverified),66.187.114.44
00-vic-ss-fwl-zpdpvmwwvc.dynamic-m.com,4433,Possible MeshCentral RMM Domain (Unverified),66.187.114.44
00-vic-ss-fwl-zpdpvmwwvc.dynamic-m.com,80,Possible MeshCentral RMM Domain (Unverified),66.187.114.44
003013.xyz,9774,Possible Komari Monitor RMM Domain (Unverified),183.6.99.148
00q1.com,443,Possible ScreenConnect Domain (Unverified),64.224.17.131
00scrn.top,443,Possible ScreenConnect Domain (Unverified),151.242.63.146
01230216.xyz,25774,Possible Komari Monitor RMM Domain (Unverified),192.3.245.227
02.31.sennahosting.com,444,Possible MeshCentral RMM Domain (Unverified),82.196.100.252
02live.com.co,443,Possible ScreenConnect Domain (Unverified),107.149.8.77
03.gk2web.com,6783,Possible Splashtop RMM Domain (Unverified),85.10.199.216
030328.xyz,25774,Possible Komari Monitor RMM Domain (Unverified),154.26.177.208
0318.chen58227375.dpdns.org,25774,Possible Komari Monitor RMM Domain (Unverified),156.231.140.2
0318.chen58227375.dpdns.org,443,Possible Komari Monitor RMM Domain (Unverified),156.231.140.2
03872903831.brokeragehouserealty.com,443,Possible MeshCentral RMM Domain (Unverified),31.57.219.64
03872903831.brokeragehouserealty.com,4433,Possible MeshCentral RMM Domain (Unverified),31.57.219.64
03872903831.brokeragehouserealty.com,80,Possible MeshCentral RMM Domain (Unverified),31.57.219.64
05-ujian.smkmuh3-yog.sch.id,443,Possible MeshCentral RMM Domain (Unverified),104.248.148.38
05-ujian.smkmuh3-yog.sch.id,4433,Possible MeshCentral RMM Domain (Unverified),104.248.148.38
093105118198.siedlce.vectranet.pl,6783,Possible Splashtop RMM Domain (Unverified),93.105.118.198
0951.nx.cn,443,Possible Komari Monitor RMM Domain (Unverified),81.69.255.124
0async.win,443,Possible ScreenConnect Domain (Unverified),38.18.229.121
0conex.xyz,443,Possible ScreenConnect Domain (Unverified),107.149.8.163
0rcrabzpgpmfnea5.myfritz.net,80,Possible MeshCentral RMM Domain (Unverified),91.67.64.146
0rtcs.sbs,443,Possible ScreenConnect Domain (Unverified),188.209.158.179
0v0.baby,25774,Possible Komari Monitor RMM Domain (Unverified),43.108.108.194
0xabitfield.com,443,Possible ScreenConnect Domain (Unverified),154.16.171.8
0xabitstream.com,443,Possible ScreenConnect Domain (Unverified),173.249.215.237
0xabitwise.com,443,Possible ScreenConnect Domain (Unverified),181.215.49.118
0xacloud.com,443,Possible ScreenConnect Domain (Unverified),45.87.61.104
0xacode.win,443,Possible ScreenConnect Domain (Unverified),38.55.75.171
0xacontext.org,443,Possible ScreenConnect Domain (Unverified),191.96.101.236
0xadaemon.com,443,Possible ScreenConnect Domain (Unverified),193.177.220.34
0xafabric.com,443,Possible ScreenConnect Domain (Unverified),104.168.34.164
0xafetch.org,443,Possible ScreenConnect Domain (Unverified),45.43.11.82
0xaflux.com,443,Possible ScreenConnect Domain (Unverified),147.124.223.111
0xaflux.org,443,Possible ScreenConnect Domain (Unverified),38.18.231.158
0xaghosted.com,443,Possible ScreenConnect Domain (Unverified),38.18.228.131
0xaghosted.com,6783,Possible Splashtop RMM Domain (Unverified),38.18.228.131
0xagrid.com,443,Possible ScreenConnect Domain (Unverified),147.124.222.105
0xahandler.com,443,Possible ScreenConnect Domain (Unverified),198.37.105.199
0xahyper.com,443,Possible ScreenConnect Domain (Unverified),78.142.218.4
0xahyper.com,8040,Possible ScreenConnect Domain (Unverified),78.142.218.4
0xalink.com,443,Possible ScreenConnect Domain (Unverified),104.255.168.141
0xalog.win,443,Possible ScreenConnect Domain (Unverified),154.30.4.194
0xamere.com,8040,Possible ScreenConnect Domain (Unverified),147.124.203.253
0xamesh.org,443,Possible ScreenConnect Domain (Unverified),181.215.242.90
0xaoracle.com,443,Possible ScreenConnect Domain (Unverified),165.140.85.47
0xaoracle.com,6783,Possible Splashtop RMM Domain (Unverified),165.140.85.47
0xapipeline.com,80,Possible ScreenConnect Domain (Unverified),154.39.0.23
0xapulse.win,443,Possible ScreenConnect Domain (Unverified),155.254.16.64
0xaregistry.com,443,Possible ScreenConnect Domain (Unverified),108.171.194.229
