#domain,port,ioc,ip
123825663.box.freepro.com,443,Possible PiKVM Domain (Unverified),149.232.200.68
123825663.box.freepro.com,80,Possible PiKVM Domain (Unverified),149.232.200.68
1c.it-bor.ru,41593,Possible NanoKVM Domain (Unverified),188.235.105.83
1c.it-bor.ru,41594,Possible NanoKVM Domain (Unverified),188.235.105.83
1c.s49.izex.org,8005,Possible NanoKVM Domain (Unverified),85.234.8.225
235128847.box.freepro.com,4443,Possible PiKVM Domain (Unverified),212.114.31.56
2rrcpc.ddns.net,41948,Possible GLKVM Domain (Unverified),207.115.122.109
360.panotoday.net,34443,Possible NanoKVM Domain (Unverified),111.198.55.66
4m134gc6zhalibii.myfritz.net,443,Possible NanoKVM Domain (Unverified),109.250.17.182
52yqc.com,26740,Possible PiKVM Domain (Unverified),116.204.134.92
913754280.box.freepro.com,20443,Possible PiKVM Domain (Unverified),130.180.221.66
91msp.com,9443,Possible PiKVM Domain (Unverified),39.101.180.111
_dmarc.r2.glkvm.com,443,Possible GLKVM Domain (Unverified),34.206.17.242
a.nmpepo.top,8443,Possible GLKVM Domain (Unverified),222.94.139.248
aaronvoxel.direct.quickconnect.to,5500,Possible PiKVM Domain (Unverified),98.123.166.42
ac.3.12345665.xyz,44388,Possible PiKVM Domain (Unverified),47.243.150.187
acumenx.duckdns.org,59308,Possible NanoKVM Domain (Unverified),210.6.109.18
admin.maixhub.com,80,Possible NanoKVM Domain (Unverified),106.55.34.119
admin.mat1977.com,1515,Possible NanoKVM Domain (Unverified),176.84.242.70
adminpetrodgiga.netcraze.pro,8989,Possible NanoKVM Domain (Unverified),178.252.115.39
adnanahmad.net,9991,Possible GLKVM Domain (Unverified),107.132.134.154
adobexp.com,3104,Possible TinyPilot KVM Domain (Unverified),45.132.142.135
aea-goodnightranch.podzone.net,4443,Possible GLKVM Domain (Unverified),76.186.135.65
ai.rhkr8521.com,80,Possible GLKVM Domain (Unverified),221.160.135.226
aino1.top,4002,Possible NanoKVM Domain (Unverified),221.214.170.242
aishouhu.net,6001,Possible GLKVM Domain (Unverified),123.180.179.218
aishouhu.net,6002,Possible GLKVM Domain (Unverified),123.180.179.218
aistation.trading,40443,Possible NanoKVM Domain (Unverified),110.235.108.37
ajiuyi.com,6044,Possible PiKVM Domain (Unverified),43.248.96.171
alist.fkapi.top,80,Possible NanoKVM Domain (Unverified),58.152.22.27
almond34.direct.quickconnect.to,80,Possible NanoKVM Domain (Unverified),211.117.156.120
andreiemil.go.ro,443,Possible PiKVM Domain (Unverified),86.127.21.232
andreiemil.go.ro,80,Possible PiKVM Domain (Unverified),86.127.21.232
api.bukiq.com,62443,Possible PiKVM Domain (Unverified),213.194.132.128
apigateway-local.instantupdate.ai,3104,Possible TinyPilot KVM Domain (Unverified),45.132.142.135
